OrderID,OrderDate,DeliveryDate,SupplierID,SKU,Quantity
0210000,2023-02-04,2023-03-01,S009,SKU-384,526
0210001,2023-02-18,2023-03-03,S006,SKU-417,334
0210002,2023-02-19,2023-03-01,S008,SKU-397,387
0210003,2023-02-01,2023-02-06,S003,SKU-416,237
0210004,2023-02-21,2023-03-07,S005,SKU-446,97
0210005,2023-02-04,2023-02-09,S003,SKU-054,75
0210006,2023-02-17,2023-02-27,S004,SKU-070,295
0210007,2023-02-13,2023-02-24,S007,SKU-085,451
0210008,2023-02-07,2023-02-17,S002,SKU-364,445
0210009,2023-02-23,2023-03-06,S004,SKU-164,464
0210010,2023-02-19,2023-02-28,S003,SKU-123,342
0210011,2023-02-15,2023-02-27,S008,SKU-201,332
0210012,2023-02-26,2023-03-12,S010,SKU-582,464
0210013,2023-02-20,2023-03-04,S010,SKU-097,154
0210014,2023-02-13,2023-02-19,S001,SKU-234,351
0210015,2023-02-11,2023-02-23,S001,SKU-580,565
0210016,2023-02-07,2023-02-22,S009,SKU-426,216
0210017,2023-02-26,2023-03-02,S007,SKU-322,589
0210018,2023-02-15,2023-03-05,S004,SKU-461,157
0210019,2023-02-11,2023-02-23,S004,SKU-595,60
0210020,2023-02-13,2023-02-23,S002,SKU-171,400
0210021,2023-02-18,2023-02-27,S002,SKU-003,358
0210022,2023-02-23,2023-03-07,S010,SKU-137,464
0210023,2023-02-05,2023-02-19,S002,SKU-493,251
0210024,2023-02-21,2023-03-08,S010,SKU-171,94
0210025,2023-02-02,2023-02-23,S006,SKU-198,452
0210026,2023-02-28,2023-03-06,S008,SKU-405,298
0210027,2023-02-18,2023-03-05,S009,SKU-285,327
0210028,2023-02-06,2023-02-13,S007,SKU-539,125
0210029,2023-02-11,2023-02-22,S004,SKU-208,279
0210030,2023-02-19,2023-02-27,S001,SKU-125,519
0210031,2023-02-01,2023-02-13,S010,SKU-331,343
0210032,2023-02-01,2023-02-04,S007,SKU-489,209
0210033,2023-02-23,2023-03-06,S010,SKU-055,63
0210034,2023-02-24,2023-03-09,S009,SKU-310,469
0210035,2023-02-10,2023-02-23,S002,SKU-364,81
0210036,2023-02-10,2023-02-16,S003,SKU-194,596
0210037,2023-02-03,2023-02-09,S007,SKU-058,205
0210038,2023-02-28,2023-03-16,S006,SKU-336,460
0210039,2023-02-27,2023-03-11,S010,SKU-392,515
0210040,2023-02-02,2023-02-14,S001,SKU-513,444
0210041,2023-02-23,2023-03-12,S006,SKU-062,420
0210042,2023-02-20,2023-02-27,S007,SKU-469,241
0210043,2023-02-05,2023-02-14,S001,SKU-460,309
0210044,2023-02-17,2023-03-01,S002,SKU-105,158
0210045,2023-02-03,2023-02-10,S007,SKU-097,155
0210046,2023-02-17,2023-02-23,S003,SKU-188,398
0210047,2023-02-17,2023-03-02,S005,SKU-102,182
0210048,2023-02-26,2023-03-12,S006,SKU-147,339
0210049,2023-02-11,2023-02-27,S009,SKU-242,155
0210050,2023-02-03,2023-02-16,S002,SKU-339,53
0210051,2023-02-14,2023-03-03,S005,SKU-422,208
0210052,2023-02-17,2023-03-01,S006,SKU-489,569
0210053,2023-02-07,2023-02-22,S006,SKU-097,326
0210054,2023-02-17,2023-03-07,S009,SKU-349,245
0210055,2023-02-14,2023-02-25,S002,SKU-234,144
0210056,2023-02-26,2023-03-07,S001,SKU-588,550
0210057,2023-02-03,2023-02-18,S006,SKU-127,527
0210058,2023-02-18,2023-02-23,S007,SKU-321,385
0210059,2023-02-24,2023-03-10,S005,SKU-496,404
0210060,2023-02-09,2023-02-17,S001,SKU-555,416
0210061,2023-02-08,2023-02-17,S003,SKU-525,70
0210062,2023-02-21,2023-03-02,S004,SKU-526,521
0210063,2023-02-26,2023-03-03,S003,SKU-108,190
0210064,2023-02-05,2023-02-15,S005,SKU-562,159
0210065,2023-02-05,2023-02-21,S008,SKU-268,552
0210066,2023-02-15,2023-02-23,S001,SKU-054,399
0210067,2023-02-04,2023-02-17,S006,SKU-232,598
0210068,2023-02-02,2023-02-15,S002,SKU-332,99
0210069,2023-02-23,2023-03-02,S007,SKU-523,135
0210070,2023-02-05,2023-02-17,S005,SKU-517,47
0210071,2023-02-04,2023-02-11,S008,SKU-392,234
0210072,2023-02-14,2023-02-27,S005,SKU-138,530
0210073,2023-02-27,2023-03-17,S006,SKU-029,254
0210074,2023-02-17,2023-03-11,S002,SKU-228,121
0210075,2023-02-14,2023-02-21,S007,SKU-446,208
0210076,2023-02-16,2023-03-05,S002,SKU-233,418
0210077,2023-02-14,2023-02-20,S008,SKU-506,409
0210078,2023-02-15,2023-02-23,S005,SKU-551,391
0210079,2023-02-06,2023-02-13,S001,SKU-413,362
0210080,2023-02-02,2023-02-09,S001,SKU-265,153
0210081,2023-02-22,2023-03-09,S006,SKU-370,54
0210082,2023-02-10,2023-02-23,S005,SKU-307,247
0210083,2023-02-09,2023-02-22,S004,SKU-418,226
0210084,2023-02-16,2023-02-23,S003,SKU-363,419
0210085,2023-02-26,2023-03-11,S002,SKU-418,204
0210086,2023-02-09,2023-02-17,S007,SKU-244,450
0210087,2023-02-18,2023-02-24,S003,SKU-147,45
0210088,2023-02-20,2023-02-28,S003,SKU-236,470
0210089,2023-02-28,2023-03-13,S010,SKU-367,592
0210090,2023-02-23,2023-03-09,S006,SKU-013,422
0210091,2023-02-26,2023-03-09,S010,SKU-573,429
0210092,2023-02-16,2023-02-25,S008,SKU-598,401
0210093,2023-02-08,2023-02-18,S008,SKU-094,230
0210094,2023-02-22,2023-03-10,S008,SKU-252,20
0210095,2023-02-25,2023-03-02,S007,SKU-451,318
0210096,2023-02-17,2023-02-28,S008,SKU-356,551
0210097,2023-02-08,2023-02-20,S010,SKU-513,247
0210098,2023-02-02,2023-02-11,S001,SKU-497,223
0210099,2023-02-04,2023-02-19,S005,SKU-311,515
0210100,2023-02-01,2023-02-11,S002,SKU-595,474
0210101,2023-02-01,2023-02-14,S002,SKU-569,275
0210102,2023-02-04,2023-02-20,S006,SKU-474,120
0210103,2023-02-07,2023-02-14,S007,SKU-058,55
0210104,2023-02-10,2023-02-24,S001,SKU-266,501
0210105,2023-02-18,2023-02-27,S008,SKU-282,32
0210106,2023-02-13,2023-02-25,S010,SKU-253,23
0210107,2023-02-19,2023-02-26,S001,SKU-349,113
0210108,2023-02-09,2023-02-20,S002,SKU-045,484
0210109,2023-02-27,2023-03-05,S004,SKU-263,173
0210110,2023-02-28,2023-03-14,S002,SKU-175,358
0210111,2023-02-23,2023-03-03,S007,SKU-082,358
0210112,2023-02-13,2023-02-27,S006,SKU-127,313
0210113,2023-02-15,2023-02-24,S002,SKU-135,229
0210114,2023-02-16,2023-02-26,S005,SKU-006,294
0210115,2023-02-26,2023-03-12,S002,SKU-097,231
0210116,2023-02-28,2023-03-12,S004,SKU-005,330
0210117,2023-02-14,2023-03-03,S009,SKU-518,47
0210118,2023-02-09,2023-02-16,S007,SKU-106,363
0210119,2023-02-11,2023-02-18,S001,SKU-557,476
0210120,2023-02-14,2023-03-05,S008,SKU-445,501
0210121,2023-02-13,2023-02-25,S005,SKU-212,105
0210122,2023-02-13,2023-02-23,S004,SKU-096,426
0210123,2023-02-26,2023-03-02,S003,SKU-214,532
0210124,2023-02-03,2023-02-15,S008,SKU-201,276
0210125,2023-02-17,2023-02-25,S003,SKU-553,127
0210126,2023-02-02,2023-02-12,S004,SKU-014,266
0210127,2023-02-05,2023-02-20,S006,SKU-180,246
0210128,2023-02-25,2023-03-08,S004,SKU-431,342
0210129,2023-02-11,2023-02-16,S003,SKU-304,596
0210130,2023-02-24,2023-03-04,S004,SKU-148,555
0210131,2023-02-20,2023-03-08,S002,SKU-544,527
0210132,2023-02-10,2023-02-19,S002,SKU-553,58
0210133,2023-02-25,2023-03-06,S007,SKU-595,366
0210134,2023-02-20,2023-03-01,S008,SKU-462,94
0210135,2023-02-19,2023-03-10,S006,SKU-322,468
0210136,2023-02-12,2023-03-03,S009,SKU-185,559
0210137,2023-02-28,2023-03-07,S001,SKU-531,91
0210138,2023-02-24,2023-03-05,S001,SKU-365,95
0210139,2023-02-05,2023-02-20,S006,SKU-330,91
