OrderID,OrderDate,DeliveryDate,SupplierID,SKU,Quantity
0710000,2023-07-02,2023-07-17,S005,SKU-250,220
0710001,2023-07-04,2023-07-22,S006,SKU-300,493
0710002,2023-07-20,2023-08-03,S002,SKU-396,492
0710003,2023-07-08,2023-07-19,S010,SKU-270,595
0710004,2023-07-21,2023-08-02,S010,SKU-488,277
0710005,2023-07-09,2023-07-23,S005,SKU-028,550
0710006,2023-07-04,2023-07-21,S009,SKU-084,366
0710007,2023-07-06,2023-07-17,S008,SKU-385,220
0710008,2023-07-17,2023-07-31,S001,SKU-198,97
0710009,2023-07-05,2023-07-16,S008,SKU-544,540
0710010,2023-07-02,2023-07-15,S010,SKU-464,465
0710011,2023-07-25,2023-07-31,S003,SKU-533,150
0710012,2023-07-20,2023-08-03,S008,SKU-556,69
0710013,2023-07-11,2023-07-22,S002,SKU-191,130
0710014,2023-07-15,2023-08-01,S009,SKU-306,359
0710015,2023-07-02,2023-07-23,S010,SKU-563,530
0710016,2023-07-05,2023-07-19,S006,SKU-345,119
0710017,2023-07-15,2023-07-31,S006,SKU-397,50
0710018,2023-07-19,2023-08-01,S006,SKU-142,201
0710019,2023-07-16,2023-07-29,S010,SKU-103,251
0710020,2023-07-17,2023-07-25,S010,SKU-286,87
0710021,2023-07-20,2023-07-30,S003,SKU-218,166
0710022,2023-07-08,2023-07-22,S006,SKU-027,348
0710023,2023-07-11,2023-07-23,S005,SKU-571,570
0710024,2023-07-21,2023-07-30,S001,SKU-154,41
0710025,2023-07-07,2023-07-21,S006,SKU-480,87
0710026,2023-07-16,2023-07-18,S003,SKU-191,194
0710027,2023-07-04,2023-07-17,S009,SKU-047,484
0710028,2023-07-24,2023-08-07,S001,SKU-469,572
0710029,2023-07-02,2023-07-16,S006,SKU-568,374
0710030,2023-07-14,2023-08-02,S009,SKU-242,202
0710031,2023-07-11,2023-07-20,S008,SKU-562,99
0710032,2023-07-25,2023-08-02,S004,SKU-405,317
0710033,2023-07-05,2023-07-09,S003,SKU-540,268
0710034,2023-07-24,2023-07-29,S003,SKU-500,222
0710035,2023-07-22,2023-08-10,S009,SKU-170,497
0710036,2023-07-23,2023-07-31,S008,SKU-472,510
0710037,2023-07-05,2023-07-13,S003,SKU-472,481
0710038,2023-07-26,2023-08-05,S001,SKU-443,200
0710039,2023-07-01,2023-07-12,S010,SKU-442,483
0710040,2023-07-15,2023-07-29,S005,SKU-105,183
0710041,2023-07-24,2023-08-03,S003,SKU-419,492
0710042,2023-07-04,2023-07-13,S004,SKU-046,114
0710043,2023-07-25,2023-08-11,S006,SKU-522,447
0710044,2023-07-23,2023-08-09,S001,SKU-118,439
0710045,2023-07-16,2023-07-24,S003,SKU-148,407
0710046,2023-07-06,2023-07-21,S010,SKU-561,276
0710047,2023-07-12,2023-07-24,S010,SKU-062,145
0710048,2023-07-09,2023-07-20,S010,SKU-246,240
0710049,2023-07-16,2023-07-25,S004,SKU-089,344
0710050,2023-07-20,2023-08-10,S006,SKU-539,101
0710051,2023-07-26,2023-07-31,S003,SKU-494,491
0710052,2023-07-17,2023-07-21,S007,SKU-300,310
0710053,2023-07-25,2023-08-01,S001,SKU-110,284
0710054,2023-07-25,2023-08-06,S010,SKU-451,322
0710055,2023-07-26,2023-08-05,S007,SKU-453,191
0710056,2023-07-25,2023-07-30,S004,SKU-499,461
0710057,2023-07-26,2023-08-03,S003,SKU-561,199
0710058,2023-07-28,2023-08-08,S001,SKU-162,553
0710059,2023-07-09,2023-07-17,S004,SKU-079,414
0710060,2023-07-25,2023-08-02,S007,SKU-230,182
0710061,2023-07-09,2023-07-18,S003,SKU-420,439
0710062,2023-07-06,2023-07-23,S009,SKU-307,540
0710063,2023-07-20,2023-08-01,S010,SKU-255,166
0710064,2023-07-06,2023-07-17,S010,SKU-240,206
0710065,2023-07-06,2023-07-20,S006,SKU-410,201
0710066,2023-07-05,2023-07-19,S005,SKU-262,337
0710067,2023-07-12,2023-07-23,S004,SKU-501,77
0710068,2023-07-01,2023-07-05,S001,SKU-527,474
0710069,2023-07-05,2023-07-19,S001,SKU-232,591
0710070,2023-07-17,2023-07-24,S003,SKU-412,95
0710071,2023-07-01,2023-07-12,S005,SKU-420,534
0710072,2023-07-11,2023-07-21,S005,SKU-313,537
0710073,2023-07-06,2023-07-27,S006,SKU-074,211
0710074,2023-07-17,2023-07-31,S001,SKU-378,78
0710075,2023-07-26,2023-08-06,S004,SKU-020,346
0710076,2023-07-21,2023-08-04,S010,SKU-158,388
0710077,2023-07-16,2023-07-31,S010,SKU-156,351
0710078,2023-07-18,2023-07-26,S001,SKU-307,365
0710079,2023-07-26,2023-08-08,S010,SKU-367,500
0710080,2023-07-22,2023-08-02,S010,SKU-017,78
0710081,2023-07-02,2023-07-13,S008,SKU-026,118
0710082,2023-07-18,2023-07-30,S008,SKU-455,188
0710083,2023-07-04,2023-07-19,S009,SKU-237,302
0710084,2023-07-27,2023-08-09,S008,SKU-084,216
0710085,2023-07-01,2023-07-23,S002,SKU-235,202
0710086,2023-07-17,2023-07-24,S003,SKU-458,496
0710087,2023-07-04,2023-07-13,S004,SKU-571,444
0710088,2023-07-07,2023-07-23,S008,SKU-401,364
0710089,2023-07-13,2023-07-23,S010,SKU-081,506
0710090,2023-07-20,2023-07-27,S007,SKU-032,59
0710091,2023-07-21,2023-08-01,S005,SKU-059,371
0710092,2023-07-08,2023-07-18,S010,SKU-369,433
0710093,2023-07-03,2023-07-14,S007,SKU-355,318
0710094,2023-07-05,2023-07-12,S007,SKU-357,81
0710095,2023-07-14,2023-07-20,S007,SKU-459,210
0710096,2023-07-21,2023-08-02,S010,SKU-520,227
0710097,2023-07-16,2023-07-31,S003,SKU-005,443
0710098,2023-07-27,2023-08-08,S004,SKU-430,179
0710099,2023-07-06,2023-07-16,S005,SKU-365,291
0710100,2023-07-24,2023-07-31,S001,SKU-230,561
0710101,2023-07-02,2023-07-18,S006,SKU-519,419
0710102,2023-07-27,2023-07-31,S001,SKU-054,528
0710103,2023-07-19,2023-07-31,S010,SKU-315,384
0710104,2023-07-10,2023-07-21,S008,SKU-088,564
0710105,2023-07-17,2023-07-27,S004,SKU-390,106
0710106,2023-07-26,2023-08-09,S006,SKU-162,224
0710107,2023-07-23,2023-07-31,S007,SKU-110,554
0710108,2023-07-12,2023-07-24,S005,SKU-113,143
0710109,2023-07-10,2023-07-23,S010,SKU-164,148
0710110,2023-07-19,2023-08-02,S006,SKU-141,252
0710111,2023-07-28,2023-08-12,S002,SKU-545,52
0710112,2023-07-28,2023-08-05,S003,SKU-203,409
0710113,2023-07-20,2023-07-26,S004,SKU-573,379
0710114,2023-07-20,2023-08-06,S006,SKU-172,84
0710115,2023-07-28,2023-08-09,S010,SKU-345,270
0710116,2023-07-12,2023-07-28,S006,SKU-056,532
0710117,2023-07-18,2023-08-04,S006,SKU-347,319
0710118,2023-07-17,2023-07-22,S001,SKU-419,432
0710119,2023-07-08,2023-07-20,S001,SKU-564,116
0710120,2023-07-08,2023-07-24,S010,SKU-407,456
0710121,2023-07-19,2023-08-01,S004,SKU-470,109
0710122,2023-07-09,2023-07-28,S008,SKU-010,460
0710123,2023-07-07,2023-07-18,S008,SKU-465,491
0710124,2023-07-11,2023-07-25,S010,SKU-073,165
0710125,2023-07-16,2023-07-24,S008,SKU-372,484
0710126,2023-07-22,2023-07-27,S003,SKU-242,55
0710127,2023-07-16,2023-07-30,S009,SKU-489,245
0710128,2023-07-07,2023-08-01,S009,SKU-527,314
0710129,2023-07-21,2023-07-29,S003,SKU-101,492
0710130,2023-07-04,2023-07-11,S007,SKU-143,310
0710131,2023-07-26,2023-08-04,S003,SKU-121,554
0710132,2023-07-22,2023-08-08,S006,SKU-428,67
0710133,2023-07-13,2023-07-19,S003,SKU-146,573
0710134,2023-07-01,2023-07-10,S001,SKU-471,558
0710135,2023-07-27,2023-08-10,S006,SKU-138,521
0710136,2023-07-24,2023-08-01,S007,SKU-358,36
0710137,2023-07-28,2023-08-03,S003,SKU-142,286
0710138,2023-07-12,2023-07-23,S008,SKU-366,396
0710139,2023-07-13,2023-08-01,S006,SKU-237,531
0710140,2023-07-19,2023-08-01,S007,SKU-494,414
0710141,2023-07-21,2023-07-28,S007,SKU-126,584
0710142,2023-07-26,2023-08-12,S009,SKU-077,387
0710143,2023-07-25,2023-08-07,S009,SKU-186,275
0710144,2023-07-17,2023-08-02,S006,SKU-455,90
0710145,2023-07-09,2023-07-18,S002,SKU-501,362
0710146,2023-07-28,2023-08-06,S008,SKU-594,376
0710147,2023-07-19,2023-07-24,S003,SKU-263,31
0710148,2023-07-15,2023-07-21,S003,SKU-005,136
0710149,2023-07-26,2023-08-07,S005,SKU-499,467
0710150,2023-07-26,2023-08-07,S010,SKU-022,517
0710151,2023-07-11,2023-07-27,S006,SKU-281,52
0710152,2023-07-10,2023-07-28,S004,SKU-382,61
0710153,2023-07-16,2023-07-23,S003,SKU-316,309
0710154,2023-07-10,2023-07-17,S007,SKU-143,390
0710155,2023-07-14,2023-07-31,S002,SKU-188,466
0710156,2023-07-06,2023-07-17,S005,SKU-443,540
0710157,2023-07-16,2023-07-19,S003,SKU-390,255
0710158,2023-07-13,2023-07-24,S002,SKU-444,333
0710159,2023-07-16,2023-07-28,S010,SKU-055,388
0710160,2023-07-02,2023-07-22,S009,SKU-001,531
0710161,2023-07-13,2023-07-20,S007,SKU-495,124
0710162,2023-07-27,2023-08-03,S001,SKU-517,73
0710163,2023-07-22,2023-08-03,S010,SKU-364,216
0710164,2023-07-14,2023-07-25,S010,SKU-474,223
0710165,2023-07-16,2023-07-24,S004,SKU-336,492
0710166,2023-07-03,2023-07-19,S010,SKU-110,134
0710167,2023-07-09,2023-07-23,S010,SKU-518,458
0710168,2023-07-12,2023-07-21,S001,SKU-308,567
0710169,2023-07-17,2023-07-27,S001,SKU-017,305
0710170,2023-07-21,2023-07-29,S004,SKU-215,124
0710171,2023-07-26,2023-08-03,S007,SKU-353,250
0710172,2023-07-02,2023-07-17,S006,SKU-576,267
0710173,2023-07-05,2023-07-27,S009,SKU-035,329
0710174,2023-07-20,2023-07-28,S003,SKU-428,58
0710175,2023-07-13,2023-07-31,S009,SKU-231,202
0710176,2023-07-13,2023-07-22,S001,SKU-354,137
0710177,2023-07-24,2023-08-12,S009,SKU-068,530
0710178,2023-07-16,2023-07-31,S004,SKU-148,197
0710179,2023-07-01,2023-07-09,S003,SKU-127,354
0710180,2023-07-14,2023-07-24,S003,SKU-561,406
0710181,2023-07-04,2023-07-25,S010,SKU-205,244
0710182,2023-07-07,2023-07-29,S009,SKU-104,37
0710183,2023-07-21,2023-07-28,S001,SKU-160,95
0710184,2023-07-09,2023-07-17,S004,SKU-225,445
0710185,2023-07-20,2023-08-01,S008,SKU-600,533
0710186,2023-07-26,2023-08-09,S002,SKU-414,556
0710187,2023-07-28,2023-08-07,S003,SKU-144,39
0710188,2023-07-24,2023-08-04,S010,SKU-417,355
0710189,2023-07-18,2023-08-03,S006,SKU-285,199
0710190,2023-07-25,2023-08-05,S004,SKU-132,250
0710191,2023-07-22,2023-08-02,S001,SKU-242,477
0710192,2023-07-23,2023-07-28,S004,SKU-260,398
0710193,2023-07-22,2023-07-25,S003,SKU-432,208
0710194,2023-07-09,2023-07-15,S003,SKU-366,476
0710195,2023-07-09,2023-07-17,S001,SKU-174,295
