OrderID,OrderDate,DeliveryDate,SupplierID,SKU,Quantity
1110000,2023-11-12,2023-11-28,S006,SKU-401,332
1110001,2023-11-01,2023-11-14,S002,SKU-342,478
1110002,2023-11-05,2023-11-13,S001,SKU-300,348
1110003,2023-11-04,2023-11-17,S002,SKU-379,148
1110004,2023-11-26,2023-11-29,S003,SKU-491,21
1110005,2023-11-13,2023-11-30,S002,SKU-436,220
1110006,2023-11-02,2023-11-14,S002,SKU-399,475
1110007,2023-11-23,2023-12-04,S008,SKU-425,195
1110008,2023-11-08,2023-11-17,S004,SKU-248,502
1110009,2023-11-27,2023-12-09,S005,SKU-530,393
1110010,2023-11-03,2023-11-14,S005,SKU-236,248
1110011,2023-11-28,2023-12-04,S001,SKU-574,474
1110012,2023-11-13,2023-11-22,S002,SKU-398,475
1110013,2023-11-17,2023-11-26,S003,SKU-599,369
1110014,2023-11-09,2023-11-25,S009,SKU-356,468
1110015,2023-11-12,2023-11-21,S002,SKU-444,163
1110016,2023-11-20,2023-11-28,S010,SKU-188,338
1110017,2023-11-20,2023-12-02,S001,SKU-320,328
1110018,2023-11-24,2023-12-09,S006,SKU-473,77
1110019,2023-11-21,2023-11-26,S003,SKU-216,593
1110020,2023-11-16,2023-12-01,S009,SKU-240,422
1110021,2023-11-26,2023-12-12,S009,SKU-149,436
1110022,2023-11-07,2023-11-22,S002,SKU-190,126
1110023,2023-11-05,2023-11-16,S010,SKU-110,480
1110024,2023-11-09,2023-11-20,S008,SKU-140,430
1110025,2023-11-17,2023-11-23,S007,SKU-068,112
1110026,2023-11-14,2023-11-26,S010,SKU-411,87
1110027,2023-11-07,2023-11-22,S002,SKU-019,552
1110028,2023-11-06,2023-11-20,S009,SKU-092,126
1110029,2023-11-19,2023-11-30,S002,SKU-577,514
1110030,2023-11-05,2023-11-16,S005,SKU-228,64
1110031,2023-11-13,2023-11-19,S004,SKU-514,218
1110032,2023-11-13,2023-11-27,S002,SKU-465,474
1110033,2023-11-18,2023-11-25,S001,SKU-311,199
1110034,2023-11-25,2023-12-02,S001,SKU-106,36
1110035,2023-11-08,2023-11-25,S009,SKU-545,219
